"Category","RelativePath","Bytes","Chars","Lines","SHA256","ChunkChars","TotalChunks","ReadUntil","Status"
"00-book","00-book\[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004.md","213108","99785","82","3ECAF5D5BD582BC02F216BC9B30BD5CCEC84BC182C0E9075B1495CA149468C62","7000","15","99785","COMPLETE"
"00-book","00-book\_MGL_to_Design-History_补充索引.md","1508","1270","38","AF045FFF53C221234390F8491381060D2D3E2B15ECAB65A749C8395AC68C262A","7000","1","1270","COMPLETE"
"00-book","00-book\1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo.md","61852","61673","265","9A63EB5F358128A8EE664B7AB863FF09EDCE13456975EDBFB2E1FAFE3029D65C","7000","9","61673","COMPLETE"
"00-book","00-book\A. H. Munsell：《A color notation》.md","105921","105501","963","ADC10B3F531E4A18F843ADA0DC2E4125B011B676D02E34D1340EFFE0B108A492","7000","16","105501","COMPLETE"
"00-book","00-book\Adam, Peter：Eileen Gray：Architect, Designer, 1987.md","597523","593968","24","5A03C0B78E55D1DEEA61A01B28572C8A450BB71207173E4CAEC3D247D3E09CA0","7000","85","593968","COMPLETE"
"00-book","00-book\Adamson, Glenn; Riello, Giorgio; Teasley, Sarah (eds.), Global Design History, 2011.md","648216","639713","10162","0F265A119DDB16BCDAEBC0F2E1B99B4E4B67C6E8842CD8CDCA94A752E3B1F854","7000","92","639713","COMPLETE"
"00-book","00-book\Adburgham, Alison：《Libertys a biography of a shop》.md","307050","306461","3","BD795CC11E48F35663676BE576A252EC696982EA372ED5D17ABDAB193A3B46BD","7000","44","306461","COMPLETE"
"00-book","00-book\Ades：《Photomontage》.md","233377","232378","2663","7C44AC635E593592341E5CF69216D4C936F547063DF6C6BDFC086C7BF65F5F32","7000","34","232378","COMPLETE"
"00-book","00-book\Adolf Loos：《Ornament and Crime》，2019.md","313869","310771","58","9E565C114CEF16359282130B32B5D1216CFE2403BDD250861B3869E9F5D88FD6","7000","45","310771","COMPLETE"
"00-book","00-book\Alain Weill：《Graphic Design A History》，2004.md","284389","283665","4454","C11EF5B61E58A1B2E9F1A07C32E0EBB7D3AFD04069B7D284E8F351A7BBA29C09","7000","41","283665","COMPLETE"
"00-book","00-book\Alain Weill：《The Poster A Worldwide Survey and History》，1985.md","736050","731112","9650","F84332287DC0B8F2E06FA1975B1341F407B1428EA6086EE629AF29AB0525B9CB","7000","105","731112","COMPLETE"
"00-book","00-book\Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》.md","4151763","4126895","39","719D01ECE56977A1FF4E935B4B73E14A127C60D9A57974279A45BE9D2D937DC9","7000","590","4126895","COMPLETE"
"00-book","00-book\Alastair Duncan：《American Art Deco (1986)》，1986.md","699459","696960","18","8E8344196C16AE81F17C49C2B6553D1FFB5678B78F9911D5450201461659B84D","7000","100","696960","COMPLETE"
"00-book","00-book\Alexander Lavrentiev：《Alexander Rodchenko Photography 1924-1954》.md","465052","457144","18","3264B22DAD1167F1B437AFBC8F6B17CEEB093721D272D7843E6A2F11ECAB0BDE","7000","66","457144","COMPLETE"
"00-book","00-book\Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha.md","442281","440847","4303","BA38AFE0AEF06ECCD092EB885D9F352A93A43C18FFA3248DC64BD2F64C62A379","7000","63","440847","COMPLETE"
"00-book","00-book\Alice Rawsthorn：《Hello World Where Design Meets Life》，2013.md","743030","740246","5572","FA95A0B7E77B202B27AD8C00E614AEA26BCC14905F51D431F870B2894AEBEE3D","7000","106","740246","COMPLETE"
"00-book","00-book\Alison Black：《Information Design. Research and practice》.md","2046943","2020496","17177","63414327A3B820715B83A0B0D5BF8707161C5299E768E6014AB74C47DE582CD5","7000","289","2020496","COMPLETE"
"00-book","00-book\Alison J. Clarke (ed.)：《Design Anthropology Object Cultures in Transition》.md","610886","604260","32","CC329B6A4B6E8A9A546022D2DF68C225A6C0CA57943F92C244A973B0597AE928","7000","87","604260","COMPLETE"
"00-book","00-book\Alla Kholmatova：《Design Systems》.md","295317","291807","3267","773F974C41CB52516170B5A482F0DEBFED2206D04774460AEC834EBC3E2015FD","7000","42","291807","COMPLETE"
"00-book","00-book\Almquist：《Affording Meaning Design-Oriented Research from the Humanities and Social Sciences》.md","40328","39907","106","6001613D71974C00C04BAAECA06B5BAEA2D0791365577642343C160901A53BD9","7000","6","39907","COMPLETE"
"00-book","00-book\Ami Ayalon：《The Arabic Print Revolution Cultural Production and Mass Readership》.md","560297","552055","26","4DF0AA1315726E24F1FAF81FE57554E22A4A2E57DEBD390F86C465DC4CBE7950","7000","79","552055","COMPLETE"
"00-book","00-book\Andrew Feenberg：《Transforming Technology A Critical Theory Revisited》.md","582321","582209","2962","C6518D4033B236DE92653064333BA4ED3BE21BA67912C4467D7AA415A8E85C47","7000","84","582209","COMPLETE"
"00-book","00-book\Anne Massey：《Interior Design of the 20th Century》，1990.md","338589","337597","6","B7E38C763D608FE5D8131919CAFBBA7B9E20C7E0B11C39215153C26C83A9139D","7000","49","337597","COMPLETE"
"00-book","00-book\Anthony Dunne, Fiona Raby：《Design Noir The Secret Life of Electronic Objects》.md","203858","203775","1","EE0F3D231B51A3CD770BFAA43A9301C69931FCDB3DB19648C6D9E3E8FBB2901F","7000","30","203775","COMPLETE"
"00-book","00-book\Anthony Dunne, Fiona Raby：《Speculative Everything Design, Fiction, and Social Dreaming》，2013.md","312032","311990","29","B0A6EB6BEA4704ECAFA8D637A8F017E29F111A6BA6A55C41F61B84498551271C","7000","45","311990","COMPLETE"
"00-book","00-book\Anthony Dunne：《Hertzian Tales Electronic Products, Aesthetic Experience, and Critical Design》，2005.md","283435","280692","2068","8D32432C96AB0CBB7CD6659BB6532F76C4C9FC5918C8B3F50672F95F5FDA2AF6","7000","41","280692","COMPLETE"
"00-book","00-book\Anthony Dunne：《Speculative Everything Design, Fiction, and Social Dreaming》.md","314946","314902","2445","728371569AD88B2ECA34BA6DBECA89328DB3ED428EFF59EE6691210BA815E845","7000","45","314902","COMPLETE"
"00-book","00-book\Apollonio：《Futurist manifestos》.md","470719","469326","3967","8658C34DAD07B85E14D3F2D88436534299EE6FD1741505BC88743F1A1BF4F1C3","7000","68","469326","COMPLETE"
"00-book","00-book\Appadurai, Arjun (ed.)：The Social Life of Things：Commodities in Cultural Perspective, 1986.md","867609","864902","24","E7AB2B4ED7799F2F1D467734D5A518EF80B2160CDF0FC4180A33D5E66ADC8A55","7000","124","864902","COMPLETE"
"00-book","00-book\Armin Hofmann D. Q. Stephenson：《Graphic Design Manual Principles and Practice》.md","94172","94081","1335","CADBDB2ED4049B5E30F7633A0064714D6C577941C254BC99F523EFD444FABEE2","7000","14","94081","COMPLETE"
"00-book","00-book\Arthur A. Cohen：《Herbert Bayer The Complete Work》，1984.md","1035401","1030715","20","4D10001102EA7E4FDDFAE57C4802ED7D1F0085F357C5550DC143D12B0BDFD9D1","7000","148","1030715","COMPLETE"
"00-book","00-book\Arthur J. Pulos：《American design ethic a history of industrial design to 1940》.md","815721","813493","28","688C52534D65054C9D67C1C70C83B7FD52DD03B5FE6123FCFBE0CEAFEC23B83A","7000","117","813493","COMPLETE"
"00-book","00-book\Arturo Escobar：《Designs for the Pluriverse Radical Interdependence, Autonomy, and the Making of Worlds》，2018.md","809720","806980","22","6B18D283D40ABE25A72D6AC5FA310E2D788E60F041245B60DAE0A2950A2B926A","7000","116","806980","COMPLETE"
"00-book","00-book\Arturo Escobar：《Designs for the Pluriverse，2018》.md","813826","805768","3845","0D575AAF57C208DC80D1672204B99D3788BC4B5273BC450DE8C5E4C973148E54","7000","116","805768","COMPLETE"
"00-book","00-book\Arwas：《Art deco》.md","649242","646064","6808","ED96BD6153D42CD183280D38B747EFE7158016A1E5878065DBF97A77AFADA577","7000","93","646064","COMPLETE"
"00-book","00-book\Aslin, Elizabeth：《The aesthetic movement prelude to Art Nouveau》.md","303219","301954","32","DB5FCA9D9B87121582ABFDF3F7EAAB40594B84B7513F611C5125061AE340AF00","7000","44","301954","COMPLETE"
"00-book","00-book\Attfield：《A View from the interior feminism, women, and design》.md","631586","629497","4141","DFA3670731A7E07A5FA337383FB5B3BD4DC60017C52B5F2D588C36257DE74ABC","7000","90","629497","COMPLETE"
"00-book","00-book\Batchen：《Burning with desire the conception of photography》.md","627973","625660","3254","D46618DA558969AFFC8F7B293F29C8AE17B8DEF6E5F8D1AC3020388DC404F093","7000","90","625660","COMPLETE"
"00-book","00-book\Bauer, Arnold J：《Goods, power, history Latin Americas material culture》.md","519447","516584","22","38E1143E573E8B01997B80BECE3C4591D9873EC65EB220E10CC82E0018CDE105","7000","74","516584","COMPLETE"
"00-book","00-book\Beaumont Newhall：《The History of Photography》.md","382773","382029","3175","CFE6CEF61865CE0F658831879F2202D4BE83F9EABD17F82840F5D26E2B1C7BE1","7000","55","382029","COMPLETE"
"00-book","00-book\Beckert, Sven：Empire of Cotton：A Global History, 2014.md","1598971","1580914","48","F6D688604DB2AA2914AADA8B824C997A12C5656BE6117C81C792D45456BFFCAE","7000","226","1580914","COMPLETE"
"00-book","00-book\Ben Shneiderman：《Human-Centered AI》.md","859998","855266","6626","618DB37745B24073307B66B37FF85354C04B00E12FD86205E657CF044CBA36A2","7000","123","855266","COMPLETE"
"00-book","00-book\Bernard Tschumi：《Architecture and disjunction》.md","1892","1889","9","B43D29899118A7055C9FF0CBA465BF52DE1CEC9461981E167E92FCF2CCA1325D","7000","1","1889","COMPLETE"
"00-book","00-book\Between Wit and Reason_ Defining Associative, Speculative, -- Malpass, Matt（Cent.md","52333","52010","278","FB55DDDECA4CB3A65C103D2E119088FBF2D9A285A3B3D1B0F93E039666E631B7","7000","8","52010","COMPLETE"
"00-book","00-book\Bevis Hillier：《Art Deco of the 20s and 30s》.md","115828","115461","14","95F807BE7562C7918404C66982703BC5A6D772AE653CE00C6057614D370D999B","7000","17","115461","COMPLETE"
"00-book","00-book\Bijker, Wiebe E.：《OF BICYCLES BAKELITES AND BULBS》.md","859971","855567","18","EA626235E8EDE290ECB9877AFD9F614E16925AEF62AF0BA7B696C1DA458AB855","7000","123","855567","COMPLETE"
"00-book","00-book\Bill Moggridge：《Designing Interactions》，2007.md","1075879","1067211","7260","2B44C006A7DE90856D202FEA85409FEB6856C6BEC94B2FDE2A585FA7BB8D8763","7000","153","1067211","COMPLETE"
"00-book","00-book\Bipan Chandra：《The rise and growth of economic nationalism in India economic pol.md","1218931","1217142","4248","0B08502D12E2F42BA54CB8617A55AEFB3407E92ECF072A730882E2742C7A47AA","7000","174","1217142","COMPLETE"
