source_type,number,author,title,year,source_report,primary_batch,secondary_batches,status,structure_verification,source_verification,content_verification,verification_reason,validation_issues,enhanced_reports,master_number,note
book,0001,1860-1914,《Learning to Consume Early Department Stores and the Shaping of the Mo,1914,01-book-report/0001 - 1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo.深度报告.md,Batch 04,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0002,[日]良品計畫株式會社,MUJI 無印良品,2004,01-book-report/0002 - [日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004.深度报告.md,Batch 04,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0003,A. H. Munsell,A color notation,待核定,01-book-report/0003 - A. H. Munsell：《A color notation》.深度报告.md,Batch 05,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0003-A-H-Munsell-A-Color-Notation-enhanced.md,,
book,0004,"Adam, Peter","Eileen Gray：Architect, Designer, 1987",1987,"01-book-report/0004 - Adam, Peter：Eileen Gray：Architect, Designer, 1987.深度报告.md",Batch 04,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0005,"Adburgham, Alison",Libertys a biography of a shop,待核定,"01-book-report/0005 - Adburgham, Alison：《Libertys a biography of a shop》.深度报告.md",Batch 04,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0006,Ades,Photomontage,待核定,01-book-report/0006 - Ades：《Photomontage》.深度报告.md,Batch 05,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0006-Dawn-Ades-Photomontage-enhanced.md,,
book,0007,Adolf Loos,Ornament and Crime,2019,01-book-report/0007 - Adolf Loos：《Ornament and Crime》，2019.深度报告.md,UNCLASSIFIED,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0008,Alain Weill,Graphic Design A History,2004,01-book-report/0008 - Alain Weill：《Graphic Design A History》，2004.深度报告.md,Batch 05,Batch 02,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0008-Alain-Weill-Graphic-Design-A-History-enhanced.md,,
book,0009,Alain Weill,The Poster A Worldwide Survey and History,1985,01-book-report/0009 - Alain Weill：《The Poster A Worldwide Survey and History》，1985.深度报告.md,Batch 05,Batch 02,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0009-Alain-Weill-The-Poster-A-Worldwide-Survey-and-History-enhanced.md,,
book,0010,"Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel",About Face The Essentials of Interaction Design,2014,"01-book-report/0010 - Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》.深度报告.md",Batch 06,Batch 04,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0010-Alan-Cooper-Robert-Reimann-David-Cronin-Christopher-Noessel-About-Face-enhanced.md,,
book,0011,Alastair Duncan,American Art Deco (1986),1986,01-book-report/0011 - Alastair Duncan：《American Art Deco (1986)》，1986.深度报告.md,Batch 04,Batch 02,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0011-Alastair-Duncan-American-Art-Deco-enhanced.md,,
book,0012,Alexander Lavrentiev,Alexander Rodchenko Photography 1924-1954,1954,01-book-report/0012 - Alexander Lavrentiev：《Alexander Rodchenko Photography 1924-1954》.深度报告.md,Batch 05,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0012-Alexander-Lavrentiev-Alexander-Rodchenko-Photography-1924-1954-enhanced.md,,
book,0013,Alexey Brodovitch,"《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha",2002,"01-book-report/0013 - Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha.深度报告.md",Batch 05,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0013-Kerry-William-Purcell-Alexey-Brodovitch-enhanced.md,,
book,0014,Alice Rawsthorn,Hello World Where Design Meets Life,2013,01-book-report/0014 - Alice Rawsthorn：《Hello World Where Design Meets Life》，2013.深度报告.md,Batch 06,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0014-Alice-Rawsthorn-Hello-World-Where-Design-Meets-Life-enhanced.md,,
book,0015,Alison Black,Information Design. Research and practice,待核定,01-book-report/0015 - Alison Black：《Information Design. Research and practice》.深度报告.md,Batch 03,Batch 06、Batch 05,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0015-Alison-Black-Information-Design-Research-and-Practice-enhanced.md,,
book,0016,Alison J. Clarke (ed.),Design Anthropology Object Cultures in Transition,待核定,01-book-report/0016 - Alison J. Clarke (ed.)：《Design Anthropology Object Cultures in Transition》.深度报告.md,Batch 04,Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0016-Alison-J-Clarke-Design-Anthropology-Object-Cultures-in-Transition-enhanced.md,,
book,0017,Alla Kholmatova,Design Systems,待核定,01-book-report/0017 - Alla Kholmatova：《Design Systems》.深度报告.md,Batch 04,Batch 05、Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0017-Alla-Kholmatova-Design-Systems-enhanced.md,,
book,0018,Almquist,Affording Meaning Design-Oriented Research from the Humanities and Social Sciences,待核定,01-book-report/0018 - Almquist：《Affording Meaning Design-Oriented Research from the Humanities and Social Sciences》.深度报告.md,Batch 04,Batch 03、Batch 01、Batch 07,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
