queue_id,review_type,target_id,source_id,comparison_group_id,required_checks,priority,review_state
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0010-01,claim_sample,CLM-PILOT-MODEL-BOOK-0010-01,SRC-PILOT-BOOK-0010,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0010-06,claim_sample,CLM-PILOT-MODEL-BOOK-0010-06,SRC-PILOT-BOOK-0010,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0010-11,claim_sample,CLM-PILOT-MODEL-BOOK-0010-11,SRC-PILOT-BOOK-0010,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0010-16,claim_sample,CLM-PILOT-MODEL-BOOK-0010-16,SRC-PILOT-BOOK-0010,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0019-01,claim_sample,CLM-PILOT-MODEL-BOOK-0019-01,SRC-PILOT-BOOK-0019,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0019-06,claim_sample,CLM-PILOT-MODEL-BOOK-0019-06,SRC-PILOT-BOOK-0019,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0019-11,claim_sample,CLM-PILOT-MODEL-BOOK-0019-11,SRC-PILOT-BOOK-0019,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0019-16,claim_sample,CLM-PILOT-MODEL-BOOK-0019-16,SRC-PILOT-BOOK-0019,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0039-01,claim_sample,CLM-PILOT-MODEL-BOOK-0039-01,SRC-PILOT-BOOK-0039,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0039-06,claim_sample,CLM-PILOT-MODEL-BOOK-0039-06,SRC-PILOT-BOOK-0039,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0039-11,claim_sample,CLM-PILOT-MODEL-BOOK-0039-11,SRC-PILOT-BOOK-0039,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0039-16,claim_sample,CLM-PILOT-MODEL-BOOK-0039-16,SRC-PILOT-BOOK-0039,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0040-01,claim_sample,CLM-PILOT-MODEL-BOOK-0040-01,SRC-PILOT-BOOK-0040,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0040-06,claim_sample,CLM-PILOT-MODEL-BOOK-0040-06,SRC-PILOT-BOOK-0040,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0040-11,claim_sample,CLM-PILOT-MODEL-BOOK-0040-11,SRC-PILOT-BOOK-0040,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0040-16,claim_sample,CLM-PILOT-MODEL-BOOK-0040-16,SRC-PILOT-BOOK-0040,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0096-01,claim_sample,CLM-PILOT-MODEL-BOOK-0096-01,SRC-PILOT-BOOK-0096,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0096-06,claim_sample,CLM-PILOT-MODEL-BOOK-0096-06,SRC-PILOT-BOOK-0096,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0096-11,claim_sample,CLM-PILOT-MODEL-BOOK-0096-11,SRC-PILOT-BOOK-0096,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0096-16,claim_sample,CLM-PILOT-MODEL-BOOK-0096-16,SRC-PILOT-BOOK-0096,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0097-01,claim_sample,CLM-PILOT-MODEL-BOOK-0097-01,SRC-PILOT-BOOK-0097,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0097-06,claim_sample,CLM-PILOT-MODEL-BOOK-0097-06,SRC-PILOT-BOOK-0097,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0097-11,claim_sample,CLM-PILOT-MODEL-BOOK-0097-11,SRC-PILOT-BOOK-0097,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0097-16,claim_sample,CLM-PILOT-MODEL-BOOK-0097-16,SRC-PILOT-BOOK-0097,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0417-01,claim_sample,CLM-PILOT-MODEL-BOOK-0417-01,SRC-PILOT-BOOK-0417,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0417-06,claim_sample,CLM-PILOT-MODEL-BOOK-0417-06,SRC-PILOT-BOOK-0417,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0417-11,claim_sample,CLM-PILOT-MODEL-BOOK-0417-11,SRC-PILOT-BOOK-0417,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0417-16,claim_sample,CLM-PILOT-MODEL-BOOK-0417-16,SRC-PILOT-BOOK-0417,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0506-01,claim_sample,CLM-PILOT-MODEL-BOOK-0506-01,SRC-PILOT-BOOK-0506,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0506-06,claim_sample,CLM-PILOT-MODEL-BOOK-0506-06,SRC-PILOT-BOOK-0506,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0506-11,claim_sample,CLM-PILOT-MODEL-BOOK-0506-11,SRC-PILOT-BOOK-0506,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0506-16,claim_sample,CLM-PILOT-MODEL-BOOK-0506-16,SRC-PILOT-BOOK-0506,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0511-01,claim_sample,CLM-PILOT-MODEL-BOOK-0511-01,SRC-PILOT-BOOK-0511,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0511-06,claim_sample,CLM-PILOT-MODEL-BOOK-0511-06,SRC-PILOT-BOOK-0511,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0511-11,claim_sample,CLM-PILOT-MODEL-BOOK-0511-11,SRC-PILOT-BOOK-0511,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0511-16,claim_sample,CLM-PILOT-MODEL-BOOK-0511-16,SRC-PILOT-BOOK-0511,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0512-01,claim_sample,CLM-PILOT-MODEL-BOOK-0512-01,SRC-PILOT-BOOK-0512,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0512-06,claim_sample,CLM-PILOT-MODEL-BOOK-0512-06,SRC-PILOT-BOOK-0512,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0512-11,claim_sample,CLM-PILOT-MODEL-BOOK-0512-11,SRC-PILOT-BOOK-0512,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-BOOK-0512-16,claim_sample,CLM-PILOT-MODEL-BOOK-0512-16,SRC-PILOT-BOOK-0512,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-PAPER-0019-01,claim_sample,CLM-PILOT-MODEL-PAPER-0019-01,SRC-PILOT-PAPER-0019,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-PAPER-0019-06,claim_sample,CLM-PILOT-MODEL-PAPER-0019-06,SRC-PILOT-PAPER-0019,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-PAPER-0019-11,claim_sample,CLM-PILOT-MODEL-PAPER-0019-11,SRC-PILOT-PAPER-0019,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-PAPER-0019-16,claim_sample,CLM-PILOT-MODEL-PAPER-0019-16,SRC-PILOT-PAPER-0019,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-PAPER-0034-01,claim_sample,CLM-PILOT-MODEL-PAPER-0034-01,SRC-PILOT-PAPER-0034,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-PAPER-0034-06,claim_sample,CLM-PILOT-MODEL-PAPER-0034-06,SRC-PILOT-PAPER-0034,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-PAPER-0034-11,claim_sample,CLM-PILOT-MODEL-PAPER-0034-11,SRC-PILOT-PAPER-0034,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-CLAIM-CLM-PILOT-MODEL-PAPER-0034-16,claim_sample,CLM-PILOT-MODEL-PAPER-0034-16,SRC-PILOT-PAPER-0034,,atomicity|evidence_support|knowledge_type|claim_owner|scope,HIGH,PENDING
REV-COMPARISON-CMP-DESIGN-HISTORY-THEORY,comparison_full,CMP-DESIGN-HISTORY-THEORY,,CMP-DESIGN-HISTORY-THEORY,both_sources|claim_distinction|counterevidence|inference_boundary|answer_traceability,HIGH,PENDING
REV-COMPARISON-CMP-DESIGN-KNOWLEDGE-PROBLEMS,comparison_full,CMP-DESIGN-KNOWLEDGE-PROBLEMS,,CMP-DESIGN-KNOWLEDGE-PROBLEMS,both_sources|claim_distinction|counterevidence|inference_boundary|answer_traceability,HIGH,PENDING
REV-COMPARISON-CMP-DIGITAL-NORMATIVE-DESIGN,comparison_full,CMP-DIGITAL-NORMATIVE-DESIGN,,CMP-DIGITAL-NORMATIVE-DESIGN,both_sources|claim_distinction|counterevidence|inference_boundary|answer_traceability,HIGH,PENDING
REV-COMPARISON-CMP-GLOBAL-MATERIAL-CIRCULATION,comparison_full,CMP-GLOBAL-MATERIAL-CIRCULATION,,CMP-GLOBAL-MATERIAL-CIRCULATION,both_sources|claim_distinction|counterevidence|inference_boundary|answer_traceability,HIGH,PENDING
REV-COMPARISON-CMP-MARGOLIN-VOLUMES,comparison_full,CMP-MARGOLIN-VOLUMES,,CMP-MARGOLIN-VOLUMES,both_sources|claim_distinction|counterevidence|inference_boundary|answer_traceability,HIGH,PENDING
REV-COMPARISON-CMP-RAIZMAN-EDITIONS,comparison_full,CMP-RAIZMAN-EDITIONS,,CMP-RAIZMAN-EDITIONS,both_sources|claim_distinction|counterevidence|inference_boundary|answer_traceability,HIGH,PENDING
REV-CONCEPT-CON-PILOT-LEX-BOOK-0010-01,concept_sample,CON-PILOT-LEX-BOOK-0010-01,SRC-PILOT-BOOK-0010,,term_relevance|normalization|entity_type|ocr_noise|cross_source_identity,MEDIUM,PENDING
REV-CONCEPT-CON-PILOT-LEX-BOOK-0010-05,concept_sample,CON-PILOT-LEX-BOOK-0010-05,SRC-PILOT-BOOK-0010,,term_relevance|normalization|entity_type|ocr_noise|cross_source_identity,MEDIUM,PENDING
REV-CONCEPT-CON-PILOT-LEX-BOOK-0010-09,concept_sample,CON-PILOT-LEX-BOOK-0010-09,SRC-PILOT-BOOK-0010,,term_relevance|normalization|entity_type|ocr_noise|cross_source_identity,MEDIUM,PENDING
REV-CONCEPT-CON-PILOT-LEX-BOOK-0019-01,concept_sample,CON-PILOT-LEX-BOOK-0019-01,SRC-PILOT-BOOK-0019,,term_relevance|normalization|entity_type|ocr_noise|cross_source_identity,MEDIUM,PENDING
REV-CONCEPT-CON-PILOT-LEX-BOOK-0019-05,concept_sample,CON-PILOT-LEX-BOOK-0019-05,SRC-PILOT-BOOK-0019,,term_relevance|normalization|entity_type|ocr_noise|cross_source_identity,MEDIUM,PENDING
REV-CONCEPT-CON-PILOT-LEX-BOOK-0019-09,concept_sample,CON-PILOT-LEX-BOOK-0019-09,SRC-PILOT-BOOK-0019,,term_relevance|normalization|entity_type|ocr_noise|cross_source_identity,MEDIUM,PENDING
REV-CONCEPT-CON-PILOT-LEX-BOOK-0039-01,concept_sample,CON-PILOT-LEX-BOOK-0039-01,SRC-PILOT-BOOK-0039,,term_relevance|normalization|entity_type|ocr_noise|cross_source_identity,MEDIUM,PENDING
REV-CONCEPT-CON-PILOT-LEX-BOOK-0039-05,concept_sample,CON-PILOT-LEX-BOOK-0039-05,SRC-PILOT-BOOK-0039,,term_relevance|normalization|entity_type|ocr_noise|cross_source_identity,MEDIUM,PENDING
REV-CONCEPT-CON-PILOT-LEX-BOOK-0039-09,concept_sample,CON-PILOT-LEX-BOOK-0039-09,SRC-PILOT-BOOK-0039,,term_relevance|normalization|entity_type|ocr_noise|cross_source_identity,MEDIUM,PENDING
REV-CONCEPT-CON-PILOT-LEX-BOOK-0040-01,concept_sample,CON-PILOT-LEX-BOOK-0040-01,SRC-PILOT-BOOK-0040,,term_relevance|normalization|entity_type|ocr_noise|cross_source_identity,MEDIUM,PENDING
REV-CONCEPT-CON-PILOT-LEX-BOOK-0040-05,concept_sample,CON-PILOT-LEX-BOOK-0040-05,SRC-PILOT-BOOK-0040,,term_relevance|normalization|entity_type|ocr_noise|cross_source_identity,MEDIUM,PENDING
REV-CONCEPT-CON-PILOT-LEX-BOOK-0040-09,concept_sample,CON-PILOT-LEX-BOOK-0040-09,SRC-PILOT-BOOK-0040,,term_relevance|normalization|entity_type|ocr_noise|cross_source_identity,MEDIUM,PENDING
