image_id,拟用图像,年代,对应小节,论证功能,优先来源,权利状态,替代方案,状态
C4-F01,1914年科隆制造联盟展览总体或会议资料,1914,4.1,展示组织与公开争论,博物馆或档案馆图录,待核,自绘组织关系图,TO_SOURCE
C4-F02,AEG涡轮机厂外观与结构图,1909,4.1,分析结构表皮与企业纪念性,建筑档案或馆藏,待核,自绘结构分析图,TO_SOURCE
C4-F03,AEG商标字体广告与产品组合,1907-1914,4.1,证明跨媒介企业协同,AEG档案或0056原书线索,待核,按元数据重绘比较表,TO_SOURCE
C4-F04,包豪斯宣言封面,1919,4.2,分析工坊共同体隐喻,包豪斯档案馆,待核,仅描述并引用目录信息,TO_SOURCE
C4-F05,包豪斯课程结构图,1922,4.2,呈现课程与工坊关系,包豪斯档案馆或0500图录,待核,依据核定资料自绘,TO_SOURCE
C4-F06,伊滕材料或质感研究,1921前后,4.2,说明感知训练方法,包豪斯档案馆或0500图录,待核,自制教学复现实验,TO_SOURCE
C4-F07,号角屋平面与室内,1923,4.3,分析跨工坊生活实验,馆藏或建筑档案,待核,自绘简化平面,TO_SOURCE
C4-F08,包豪斯灯及产品目录,1923-1924,开篇与4.3,讨论原型署名与正典化,馆藏和历史目录,待核,自摄获授权复制品,TO_SOURCE
C4-F09,德绍包豪斯校舍,1925-1926,4.4,分析学校建筑与组织展示,包豪斯基金会,待核,使用授权建筑摄影,TO_SOURCE
C4-F10,包豪斯出版或拜耶排印页面,1920年代,4.4,说明媒介如何制造学校形象,历史出版物馆藏,待核,自绘版式结构图,TO_SOURCE
C4-F11,编织工坊工作现场或织物样品,1920年代,4.4,恢复女性与集体劳动,包豪斯档案馆,待核,仅用已授权馆藏样品,TO_SOURCE
C4-F12,迈耶时期建筑项目或课程文件,1928-1930,4.5,说明社会功能与集体方法,建筑档案,待核,自绘需求分析流程,TO_SOURCE
C4-F13,包豪斯亚洲传播路线图,1920年代以后,4.6,区分访问迁徙译介与制度转译,作者原创,原创,附数据来源表,TO_CREATE
